state,median,lower_bound,upper_bound
alabama,NA,NA,NA
arkansas,NA,NA,NA
arizona,NA,NA,NA
california,4405.846868805087,-377.2147278035949,11392.535290858446
colorado,NA,NA,NA
connecticut,1457.9538058649796,464.53107369558296,3262.7052103554033
delaware,NA,NA,NA
florida,NA,NA,NA
georgia,4048.1574515437605,1610.552542338747,7979.030657998191
iowa,900.7342041387273,243.08851298677877,1949.0162366030083
idaho,111.39213206031307,-92.29135815920003,389.52396942002906
illinois,4533.229697339708,1170.8122990757538,9821.963621768115
indiana,1718.0657802157955,90.18733601041163,4412.779813524013
kansas,180.37504656307982,-807.9689448719938,1296.8661941305807
kentucky,1727.606278107046,345.4876827155531,4018.100543165512
louisiana,1817.7307973580719,668.1801971676657,3794.649970709222
massachusetts,3491.120344082456,1325.1040287028407,7373.1497106523575
maryland,587.6756683465035,-179.80796296665224,1830.5201971891402
maine,882.5435403074403,311.7048610665015,1808.1578897684915
michigan,1893.9538917987393,-352.89611024926484,5345.619141773164
minnesota,583.3609031984163,-763.3597998319717,2290.6845700537856
missouri,2023.1805048598583,366.14413378084447,4871.546416200642
mississippi,1113.2129703732976,483.7677125718805,2171.895223044746
montana,-40.91386902307664,-170.6274312920092,55.254414498658946
north carolina,NA,NA,NA
north dakota,29.526895597826126,-68.35002144641426,144.49823704388135
nebraska,NA,NA,NA
new hampshire,172.90887153000557,-15.13822055595762,492.4692283193958
new jersey,1864.9970000757396,300.48018203680107,4441.821942966199
new mexico,56.44770857776186,-115.48425930300418,275.9812295894084
nevada,78.8672619449264,-157.54931520599962,375.89801750109774
new york,5675.913105654027,1907.61210189757,12205.04433778847
ohio,3609.7629637323107,543.3979908282043,8208.143254803617
oklahoma,814.2889636944863,-228.5715279188878,2280.5914005551413
oregon,903.1403853338135,-689.3586053095779,2857.220740211082
pennsylvania,2681.8138362942327,180.5659399595732,6785.033978032112
rhode island,274.02948299750847,37.050745934600904,717.9930538517632
south carolina,NA,NA,NA
south dakota,50.00434076633691,-69.05277177439523,205.2595369264814
tennessee,1715.4343385208551,376.1270505009491,3838.6051169241027
texas,9865.092253336814,3644.1475944068866,20260.30249561539
utah,464.1986058358019,-89.1525696680359,1264.0785396156482
virginia,2720.542547418104,1042.1928518094373,5737.545124131264
vermont,158.82981255852735,3.8622702082355578,400.42326943713744
washington,7.521544246233319,-1852.6159152867708,1885.4501131547581
wisconsin,2209.9243176483965,743.7837873074525,4576.674570280623
west virginia,NA,NA,NA
wyoming,-14.583852099074331,-118.32331741136986,78.61814116667836
