state,median,lower_bound,upper_bound,group
alabama,2.09641627872928,0.388795096652551,4.05588535522513,Marginal
arkansas,0.979751515324437,0.12654136240286,2.22389181229064,Marginal
california,4.49144352998174,0.838075712801098,8.98157657840683,Marginal
colorado,0.982767357666075,0.132183688040488,2.33863523645436,Marginal
connecticut,1.66285428648994,0.332664883064636,3.38282189697783,Marginal
florida,14.9256234372127,3.05955752224768,26.3019111231372,Marginal
georgia,5.54637451195626,1.11936156792733,10.1447550230036,Marginal
idaho,0.163485813130857,0.00126449088316097,0.447467107643428,Marginal
illinois,2.23131902327822,0.395486432965696,4.59000463965196,Marginal
indiana,2.20401652098311,0.352338449314135,4.57137417002649,Marginal
iowa,0.357199927941823,0.076888941691686,0.678381181334486,Marginal
kansas,-0.120166262312613,-0.707768315018744,0.268458783112799,Marginal
kentucky,1.08565347615511,0.211686361204347,2.09312921437154,Marginal
louisiana,2.62467640620891,0.482739976802588,4.73587426438279,Marginal
maine,0.29231156667697,0.0370228342582914,0.668461133192812,Marginal
maryland,0.170363438249668,0.0111692093868469,0.44408205039679,Marginal
maryland,1.4242959094972,0.0644105459943657,3.59777151500775,Marginal
massachusetts,2.64421467553474,0.491429934210462,5.14685396962219,Marginal
michigan,1.58160567497978,0.220063858176004,3.86046978617161,Marginal
minnesota,-0.139949400950559,-0.477193899859125,0.0506908171166833,Marginal
mississippi,1.73241872756533,0.32526267063808,3.23347320331409,Marginal
missouri,1.48179703282806,0.278248860676596,3.20544148822922,Marginal
montana,-0.0459191259968784,-0.17492768023896,0.0267623722855069,Marginal
nevada,0.210781972705655,0.00111572796645573,0.59543238540181,Marginal
new hampshire,0.143413260375077,-0.207962192405756,0.622183823675113,Marginal
new jersey,2.04013198616435,0.340402933958746,4.59976839698112,Marginal
new mexico,0.0678495959433993,-0.0457740114847532,0.249260718329261,Marginal
new york,8.14844882199777,1.45437180732266,15.3805997207218,Marginal
north carolina,3.21785754571723,0.628434154571716,6.30167080908237,Marginal
north dakota,-0.0139776770328655,-0.0646272688802032,0.0166273181344798,Marginal
ohio,2.57775462464253,0.493796168717171,5.01252228348899,Marginal
oklahoma,0.359028339147801,0.0172450412475973,0.960705478732375,Marginal
oregon,-0.402997811480557,-1.04450846033044,-0.0341709377397177,Marginal
pennsylvania,2.05398180837482,-0.00183010352630666,5.61602104147025,Marginal
rhode island,0.590358214335061,0.0729085209279441,1.35327905077455,Marginal
south carolina,2.57060678761228,0.507536188644966,4.84808812568158,Marginal
south dakota,-0.00661268650101376,-0.0839025640966692,0.0568449025797542,Marginal
tennessee,1.31023729754907,-0.113732529255336,3.82577474852929,Marginal
texas,12.1135315594666,2.56335812160456,21.8293378565211,Marginal
utah,0.262158435277136,0.0424868582974301,0.586881684499796,Marginal
vermont,0.0426549447053499,-0.0563587953224544,0.184240818847886,Marginal
virginia,3.32818121641672,0.695705369478489,6.21304803180604,Marginal
washington,-0.357865896496632,-1.2245039851329,0.106983164158984,Marginal
wisconsin,0.875825827027156,0.156124422603117,1.78118433405749,Marginal
wyoming,-0.023816034506956,-0.117014273410588,0.0366679819110429,Marginal
state_sum,87.4800864525702,11.5985736357175,175.191124459001,Marginal
alabama,0.815610374903896,0.160635021150842,1.65219375668627,Female
arkansas,0.339121841135871,0.0445859875686511,0.800750940539841,Female
california,1.65035307103353,0.310985987642919,3.51189518187153,Female
colorado,0.342159118098721,0.0476270600845086,0.83687732746031,Female
connecticut,0.599189983655124,0.114952679506543,1.27019970803741,Female
florida,5.18977904654271,1.04749595249234,9.63005019094202,Female
georgia,1.84973934868661,0.383213086328401,3.56619071901929,Female
idaho,0.0535010504567157,0.00146126977789792,0.155692496453242,Female
illinois,0.797424936635032,0.137944590345559,1.75725070643866,Female
indiana,0.793057770293371,0.137885826750099,1.71790094270501,Female
iowa,0.130969020201706,0.0250898749019142,0.264168754502472,Female
kansas,-0.046921802134582,-0.259230390762162,0.0985144631138383,Female
kentucky,0.378664566256452,0.0682525626931518,0.754370150390308,Female
louisiana,0.972553266664132,0.20145807780429,1.83561953877834,Female
maine,0.102704008532738,0.0144463800028232,0.244252415058554,Female
maryland,0.0627615151237721,0.00331612816329473,0.164775376603974,Female
maryland,0.502744604063403,0.0330479732270727,1.38701588069125,Female
massachusetts,0.907319081080034,0.171856285839612,1.8729510979238,Female
michigan,0.593267195457671,0.0616936889791593,1.47003635961774,Female
minnesota,-0.0442171838394515,-0.165579649407761,0.0170836896423616,Female
mississippi,0.598272583973352,0.128115816845429,1.14799511553647,Female
missouri,0.511142009716344,0.0869882183068221,1.14307169641856,Female
montana,-0.0168518439087613,-0.0665599052824172,0.0119626542899458,Female
nevada,0.0825834755249078,2.50500677848925e-5,0.237441012125493,Female
new hampshire,0.0477286683991991,-0.0676000184299979,0.22478417891013,Female
new jersey,0.714866173517771,0.109144198196758,1.61282216569807,Female
new mexico,0.0218828936182743,-0.0156694691080395,0.0828621828048753,Female
new york,3.02422107675382,0.597735611332844,5.95495095766569,Female
north carolina,1.28310044591781,0.241229110943614,2.75021266445975,Female
north dakota,-0.00436534404969304,-0.020201091398485,0.00596827441442458,Female
ohio,0.955073396956381,0.178848310351982,1.93172861794864,Female
oklahoma,0.131601211433279,0.00825339979215899,0.354227501708103,Female
oregon,-0.153875357941076,-0.420980047152246,-0.0136363748764667,Female
pennsylvania,0.688414869259899,0.00366408901412317,1.94885108411903,Female
rhode island,0.209889938379816,0.0313699626202104,0.506770184121211,Female
south carolina,0.902443015295025,0.193480257106112,1.82854720890955,Female
