state,median,lower_bound,upper_bound
alabama,3258.8524003268967,1139.3347340468024,7168.858183552413
california,1707.3828846662946,-83.91350730996977,4796.568568257278
connecticut,343.9236840470106,103.65261316471872,810.9351747294627
georgia,6816.546622384665,2648.0536350747175,14244.23904329112
iowa,129.15010697595744,32.24876006998718,327.7374892505762
illinois,3784.0907765933785,1001.3761153136915,8649.19780184201
indiana,504.6135194545992,25.585390518564562,1351.558171344108
kansas,36.73149260449382,-164.4283411318508,262.2486074739229
kentucky,458.23267180456867,91.63375523787948,1128.4533722896965
louisiana,3969.4554027507743,1395.8053388803396,8455.17768187527
massachusetts,745.4394739237505,260.8156437493191,1718.6318716967364
maryland,1084.3451615676204,-391.7692559870151,3649.8536117796166
michigan,1080.3599154308808,-179.36931615579417,3187.8843403497985
minnesota,92.37405674096368,-149.15799172979158,503.3404374221245
missouri,867.7145414964066,138.3620290376662,2124.0118669549424
mississippi,3255.3632915719577,1378.0439080414976,6440.162468341647
new jersey,1637.5481059783183,281.49455051101904,4042.3470918351745
nevada,42.803917896878644,-97.01086810484641,243.73213269698005
new york,5065.338937677084,1627.4929087779622,11552.11420173713
ohio,1634.318247794748,233.13229793052116,3966.7173502214473
oklahoma,360.5071106027809,-120.539425511376,1057.3964727890877
pennsylvania,1502.6212304768674,110.36575833323529,3877.8941741981707
rhode island,24.31443244232817,3.9786866280661055,69.49771487877678
tennessee,1526.3251551415,366.129422110522,3714.914146723705
texas,9298.239433443645,3401.5223424052742,19505.587685463914
utah,27.268651860146406,-6.6672811174345785,89.1331145193303
virginia,1297.1774813624083,463.2779133387862,2835.084077065357
washington,0.10081498195239863,-150.83572836441851,149.11702001737694
wisconsin,575.0948818409004,195.63602916381353,1245.4432030751032
