state,median,lower_bound,upper_bound,group
alabama,1.96385565509714,0.348695917400994,3.87091289116357,Marginal
california,4.51602982857796,0.832230644359821,8.99911403203843,Marginal
connecticut,1.63695754501715,0.323160354950346,3.37209527169342,Marginal
georgia,5.33732005434496,1.01995718035184,9.85780019728795,Marginal
iowa,0.339358440591637,0.0638740753922279,0.658978556903107,Marginal
idaho,0.154871322776943,0.00241579705447616,0.429628105583431,Marginal
illinois,2.20684512039303,0.417498841040491,4.65298109556464,Marginal
indiana,2.19067962447069,0.390114907322289,4.56865292936865,Marginal
kansas,-0.123800447104851,-0.679193065831613,0.245835202140708,Marginal
kentucky,1.0315524355725,0.198549227876411,1.99701089866066,Marginal
louisiana,2.53004041551829,0.514854188936994,4.68571146484073,Marginal
massachusetts,2.59224933098984,0.524047661763063,5.02170657440015,Marginal
maryland,1.64929218567855,-0.54998643951861,5.17630944745216,Marginal
maine,0.138094380497389,-0.0772038156490085,0.484600219885149,Marginal
michigan,1.55478549751791,0.202429614242848,3.75662442785724,Marginal
minnesota,-0.134969774612345,-0.462665928486955,0.0461529801094904,Marginal
missouri,1.41898184852408,0.2734148412083,3.08063279514798,Marginal
mississippi,1.6426557148488,0.32414503389636,3.02889026627329,Marginal
montana,-0.043287137490626,-0.172891117703897,0.0283905336192982,Marginal
north dakota,-0.0135803099220051,-0.0609467188191999,0.0193497085740054,Marginal
new hampshire,0.137761237250387,-0.207190338092673,0.619178982319703,Marginal
new jersey,1.96818401200067,0.302390166071458,4.45491496025797,Marginal
new mexico,0.0663380549011796,-0.0414057709900546,0.246760142976482,Marginal
nevada,0.201856511795105,6.68814662595484e-4,0.570444020413163,Marginal
new york,8.01375428143664,1.56157871050749,15.4903792547621,Marginal
ohio,2.46804972456789,0.450574686992289,4.89319256664301,Marginal
oklahoma,0.341305384212756,0.0172343828785204,0.898451312721248,Marginal
oregon,-0.382984735786258,-1.01130585690535,-0.0394412517395128,Marginal
pennsylvania,1.98852394690013,0.0133258345870566,5.42751588526136,Marginal
rhode island,0.589248208315485,0.081579544583147,1.33114375750218,Marginal
south dakota,-0.00635121521949802,-0.080859828272783,0.0553737585759682,Marginal
tennessee,1.22463253256034,-0.0761444010201513,3.58837750508062,Marginal
texas,12.2186844498816,2.54832627519526,21.9404932891993,Marginal
utah,0.252341011547014,0.0383312378700531,0.565431139151165,Marginal
virginia,3.16712405844634,0.6323364933706,5.92357021560125,Marginal
vermont,0.0412917067852184,-0.0577264877317752,0.183915595569072,Marginal
washington,-0.350148560832674,-1.18358789806869,0.106104955086701,Marginal
wisconsin,0.845502787902188,0.151071177885774,1.71619757902813,Marginal
wyoming,-0.0237340537152086,-0.114348298102374,0.0349540539813,Marginal
state_sum,63.3493110742363,6.45734964520756,131.988335320955,Marginal
alabama,0.877749301599182,0.164417625315181,1.75611226711675,Female
california,1.96650496642098,0.346956301606894,4.14558664093638,Female
connecticut,0.704651127334671,0.133120894001031,1.50088401175867,Female
georgia,2.29038455257171,0.42981735250369,4.38819454324334,Female
iowa,0.145890084895897,0.0273409499249054,0.293055382790237,Female
idaho,0.0636834593166348,6.90377703284753e-4,0.18513925453167,Female
illinois,0.946057838119857,0.188266097605221,2.00836806204704,Female
indiana,0.921566085473105,0.156327774387902,1.99224457043602,Female
kansas,-0.0528992491130405,-0.287665619506108,0.112231630218802,Female
kentucky,0.438133395820908,0.0825317995413374,0.881970691702245,Female
louisiana,1.1129714082004,0.218640926828052,2.13389011722314,Female
massachusetts,1.09943111239892,0.208963582385674,2.21281231169468,Female
maryland,0.701713419340363,-0.245604130158902,2.31676224917454,Female
maine,0.0594645788612874,-0.0305692040868422,0.213593433958953,Female
michigan,0.669420775289032,0.090474502779444,1.6654644396695,Female
minnesota,-0.0538864831477299,-0.193844085643991,0.0215417644365255,Female
missouri,0.578523567902501,0.101638378608758,1.29598292308056,Female
mississippi,0.70161528255419,0.13123764071534,1.34950550984984,Female
montana,-0.0197068255078555,-0.0744575586755034,0.0122748130274738,Female
north dakota,-0.00510217571450396,-0.0243660274349603,0.00674206238758129,Female
new hampshire,0.0574895390110644,-0.0867212091748263,0.268633971311804,Female
new jersey,0.836923185619853,0.148714550952533,1.89737384603712,Female
new mexico,0.0280069224723322,-0.01794027073974,0.106700121323209,Female
nevada,0.0903681146803625,7.98054401232336e-4,0.260477848550108,Female
new york,3.50501223143483,0.673706156924173,7.01151228250133,Female
ohio,1.06131810139553,0.200449655219372,2.15921066729845,Female
oklahoma,0.14815726874223,0.00605155907061852,0.400871591445006,Female
oregon,-0.167890912191106,-0.449494250476724,-0.0111559513294489,Female
pennsylvania,0.831019334489661,0.0020257500568985,2.33552918165657,Female
rhode island,0.250528270926838,0.0346045576135735,0.591721210695948,Female
south dakota,-0.00327207145916399,-0.0361640660079455,0.0256582479198632,Female
tennessee,0.494206398811208,-0.0273724189166756,1.48633360310642,Female
texas,5.2692251458316,1.0290129826761,9.99743509588717,Female
utah,0.107430666311803,0.0187605410961291,0.248498929227461,Female
virginia,1.30493343265333,0.251345449280504,2.52053912135754,Female
vermont,0.0172234837343571,-0.0242232125478475,0.0814081499370795,Female
washington,-0.14673304866422,-0.505189163559503,0.0426133812003003,Female
wisconsin,0.366301232270791,0.0694789802721502,0.752958440331016,Female
wyoming,-0.00973080810239005,-0.0483141247132027,0.0156668334217452,Female
state_sum,27.1866827105854,2.66344709982723,58.6843432511626,Female
alabama,1.20022916879649,0.231968291286596,2.42579792384676,Male
california,2.82687428402771,0.513460180762291,6.01182861442488,Male
