state,median,lower_bound,upper_bound
alabama,1.0890158608248,0.151879438371121,2.49149166204787
california,0.72051823637584,-0.0900014787642688,2.14871555234158
connecticut,0.197621306903274,0.0256316862286056,0.46704242056077
georgia,2.15427154087074,0.385401093959166,4.67777656229844
iowa,0.0315928189456249,0.00350091675708186,0.0866371278530334
illinois,0.96224346215395,0.111935405185673,2.34625558729897
indiana,0.304964442613879,-0.00201320024171863,0.825043853232202
kansas,0.00783441714482572,-0.0430597388752559,0.0704484136601195
kentucky,0.172607549238436,0.0161843913370618,0.465098047963755
louisiana,1.34451364535884,0.208335226147618,2.94692892827741
massachusetts,0.295798700102149,0.0464672032779571,0.705289366425615
maryland,1.02276536561369,-0.353430199177561,3.14338531964149
michigan,0.582938493300459,-0.110989817843534,1.757315336068
minnesota,0.0207444504946586,-0.0403172430746146,0.127112458142677
missouri,0.34642451756413,0.0180540572173673,0.897736434976096
mississippi,1.13839077318619,0.198751209880521,2.35916236830123
new jersey,0.743479559773641,0.0378852741470976,1.86049955752406
nevada,0.0284046768923491,-0.0727653794421056,0.181376599405786
new york,2.21777038434017,0.356748540908901,5.09179574150512
ohio,0.50444407459258,0.0288246576688298,1.31034463433117
oklahoma,0.0966311148200401,-0.0291258508506408,0.314074535151512
pennsylvania,0.774159071732599,-0.00197888131196761,2.13639430427904
rhode island,0.0246158245971175,0.0014974697309651,0.0637632440702826
tennessee,0.476916531534995,0.0445961169727998,1.23824925038204
texas,2.4775186879132,0.363418101047185,5.49002749613621
utah,0.010000395144986,-0.00250412491028604,0.036816515068718
virginia,0.716706517470142,0.1364324736957,1.58065627178938
washington,0.000229081111321732,-0.0444200382102467,0.0422777231337505
wisconsin,0.171004632017428,0.0255154294665592,0.403536925976299
state_sum,18.6341261326321,1.37045273929801,45.2652522378426
