state,median,lower_bound,upper_bound,group
alabama,66.3108969389506,12.116546141957,143.072355424188,Marginal
arkansas,28.3018728872712,3.55931104337895,69.7047059949161,Marginal
california,108.213619456715,19.4859321922859,243.927098340197,Marginal
colorado,16.6931020644853,2.10778851389097,45.4219588085631,Marginal
connecticut,29.286354326999,5.54860854024641,68.9342562716275,Marginal
florida,381.124991585455,73.3523522989103,771.191332836721,Marginal
georgia,185.814487608524,36.0295066898013,373.501988441883,Marginal
idaho,2.88621355923756,0.0245688962031167,8.82769338058031,Marginal
illinois,92.1242396929636,15.5054231977939,200.876712650037,Marginal
indiana,37.6480407260023,5.95466054203349,92.1045947646766,Marginal
iowa,15.4105597198568,3.20605124427564,31.3966678802522,Marginal
kansas,-5.50605618943001,-33.266031059151,12.403143494793,Marginal
kentucky,29.3417259495122,5.49249734446442,62.4638072774407,Marginal
louisiana,80.7096011803698,14.6584034677648,162.983353316722,Marginal
maine,6.30637070266123,0.763891786222006,16.2810861777702,Marginal
maryland,2.87207554936188,0.17557327276959,8.49278009559887,Marginal
maryland,23.9664135881437,1.06845562673255,71.1103355020523,Marginal
massachusetts,68.0883377250816,12.4605389123167,148.921563559892,Marginal
michigan,30.0544373865995,3.97695680109262,81.3193710972929,Marginal
minnesota,-6.29953555740314,-22.5132713176823,2.33750614966307,Marginal
mississippi,51.3653911017224,9.5856517809522,106.016870322002,Marginal
missouri,38.4476965829921,6.94896510820862,92.4287287661544,Marginal
montana,-0.945044102509698,-3.92079504552405,0.581133315633913,Marginal
nevada,2.98139352243696,0.0159795454962566,9.71492079171632,Marginal
new hampshire,1.74188541109559,-2.76290934623414,8.86428321855326,Marginal
new jersey,46.1264702686425,7.29091238293073,116.768564756148,Marginal
new mexico,1.98194114987627,-1.3718156326988,7.78867407112236,Marginal
new york,192.194466269749,33.3419233365212,421.971609370925,Marginal
north carolina,93.9853245629552,18.0285587890468,205.473150664928,Marginal
north dakota,-0.510974222014062,-2.51278032589186,0.636744691521658,Marginal
ohio,87.7516318163423,16.7347344740358,187.300186361067,Marginal
oklahoma,13.4633216897832,0.659501878330965,38.549015860774,Marginal
oregon,-26.2519995515821,-70.8153204001605,-2.20674043543919,Marginal
pennsylvania,41.3708066386479,-0.0401874086647006,125.718924479644,Marginal
rhode island,6.11555921421723,0.614052365583339,17.0544380114888,Marginal
south carolina,57.4786844659908,10.8689035682328,123.784943886231,Marginal
south dakota,-0.174588688160362,-2.38026271374265,1.59387990307411,Marginal
tennessee,43.4895201243536,-3.89956966353802,136.519086576802,Marginal
texas,472.640690285722,94.8663876603053,938.258267725493,Marginal
utah,7.20090220341734,1.11050856627472,17.7916008081876,Marginal
vermont,0.958831783379743,-1.37011230095262,4.57605396495914,Marginal
virginia,62.8697676632512,12.7200206256223,136.920632433702,Marginal
washington,-14.4764926570379,-50.8007594237434,4.22562166596997,Marginal
wisconsin,30.3885775477502,5.05382150066614,66.4758437675164,Marginal
wyoming,-0.477542312673235,-2.57720245549109,0.759758240119965,Marginal
state_sum,2403.06396966971,235.095971000872,5382.83850468316,Marginal
alabama,25.8398724343867,5.14995320102454,56.7269885927976,Female
arkansas,9.73241409288399,1.27610154262488,25.1136250324458,Female
california,39.5372150828691,7.11366409156239,94.955676027974,Female
colorado,5.7537264051987,0.72626145769625,16.315164392934,Female
connecticut,10.6055089666424,1.90099538438506,25.9666423066379,Female
florida,132.7831138744,25.1964005934886,277.384933004001,Female
georgia,62.2532155200126,12.5254842032738,132.461566426842,Female
idaho,0.956032085449924,0.0273719578659786,3.08997789218473,Female
illinois,32.841685054665,5.66352814649191,76.6168081736472,Female
