state,median,lower_bound,upper_bound
alabama,40.3195891490125,6.06113046257234,96.9955129420328
california,123.695710549841,-12.8782680348494,404.266541195288
connecticut,23.3862004375195,3.73080001445363,60.17886451505
georgia,97.3259648700592,16.1630523623832,228.224019819634
iowa,10.3594936925295,1.20068764380773,27.6736553737834
idaho,1.35630889044429,-1.25961816815537,5.95932172345567
illinois,93.9036825584201,11.9340005091704,240.358145370072
indiana,22.5604327703182,-0.00197412894320665,69.0156922414393
kansas,2.34122776218916,-11.6191266794937,19.7796383962122
kentucky,22.6260916062984,2.4330140116921,61.8255442081077
louisiana,44.1711762149234,6.38121362481705,105.265161222322
massachusetts,58.7693165934741,9.84461073120961,138.579309594553
maryland,14.5441856998612,-4.57574134308643,52.4125850363877
maine,9.82272185589662,1.5092646589656,24.1642866818464
michigan,29.2781368262757,-4.67361432161595,99.9456777859341
minnesota,6.70641189591983,-10.4069144182743,32.5250674380617
missouri,28.8458623937962,1.41384204543141,82.2679458500851
mississippi,34.0199826578579,6.082574442184,77.2249550293176
montana,-0.499469682221632,-2.68147200641326,0.780536045044063
north dakota,0.320514680855433,-0.88863019378743,1.91122532682542
new hampshire,2.79299879344285,-0.325459135334005,9.46595739149658
new jersey,43.8270896941288,2.87163028097829,123.922609229514
new mexico,1.90594604955693,-4.92970885613644,11.1602914239674
nevada,1.5838733480397,-3.84293094482489,9.17781106319305
new york,130.405355458759,16.6035019978301,330.834408004798
ohio,50.3484668737065,3.26263445551471,137.233448638647
oklahoma,15.2157143784731,-4.75445164246886,51.1098456860333
oregon,11.1644042694254,-9.57248754051861,44.78555215798
pennsylvania,47.6453828800292,0.285150072653235,146.961067517387
rhode island,3.9040818939812,0.216127073222974,11.7535818417333
south dakota,0.531000950198882,-0.878110094277896,2.71926825388737
tennessee,30.9036429881519,2.75500992445289,84.019355452163
texas,292.037847062015,44.5855568772719,694.848152657574
utah,5.56044506833198,-1.59240388426304,18.983514682202
virginia,42.5839030480525,6.73946907305488,102.523879074104
vermont,1.61962582852456,-0.070955800762119,4.98688728162765
washington,0.250321424984188,-33.3869839161268,32.3538139870437
wisconsin,31.6912492236611,4.37704859180726,78.3193395844418
wyoming,-0.137402752015287,-1.83696855700422,1.17156411073005
state_sum,1377.68748790472,38.2744991871372,3725.68403383398
