state,median,lower_bound,upper_bound
alabama,4832.6357370934,1821.2158823583147,9862.170062552574
arkansas,NA,NA,NA
arizona,NA,NA,NA
california,14885.757821410665,-1390.0537344692152,38653.80182863882
colorado,NA,NA,NA
connecticut,2775.4523366054045,855.7749170653657,6010.147576471241
delaware,NA,NA,NA
florida,NA,NA,NA
georgia,11172.237733067639,4458.3803054279115,21615.58498419186
iowa,1212.0168239167012,328.669550123502,2587.746362664038
idaho,149.18238943671622,-127.9794354179711,523.528519367155
illinois,10435.755924508074,2825.385680084158,22061.969072753942
indiana,2805.5213357221783,199.27165720820037,7182.03948812232
kansas,291.175161553033,-1266.7536232490334,1931.394985742429
kentucky,2523.733297696997,490.99267426783746,5802.9726871717185
louisiana,5194.902305755,1944.894783502238,10645.381202529
massachusetts,6601.86699622385,2467.41959579905,13334.802066111097
maryland,1800.929661168673,-530.1683673663202,5649.365550136861
maine,1137.3873395881628,411.6332427600786,2294.345903895935
michigan,3680.9536495422713,-614.1042225612259,9696.999206712195
minnesota,797.2729172160061,-1003.8229153893069,3073.845237147572
missouri,3414.981764097888,534.590437514762,7929.755932732761
mississippi,3724.3452774110456,1648.0224889749597,7047.716256042167
montana,-61.18662027231725,-248.76423264281058,77.06071562008152
north carolina,NA,NA,NA
north dakota,39.16190650993006,-92.80257741084091,190.04628092218707
nebraska,NA,NA,NA
new hampshire,332.86417164436784,-23.882550750710468,937.356106069885
new jersey,5090.71009229783,874.3123113851274,11920.314008363292
new mexico,229.67202657015434,-475.332864912184,1077.2385037985841
nevada,220.48780406791667,-417.15098331231513,1033.5257916444098
new york,16108.46549457538,5575.696755828175,33425.260139638456
ohio,5834.865054420534,914.1703121933687,13490.407994728906
oklahoma,1776.3243487053464,-415.1209991245847,4853.545749354746
oregon,1423.4879108995253,-1100.3071136319443,4457.723573328082
pennsylvania,5444.370549115775,419.471696379043,13637.999923860069
rhode island,464.1639617350945,85.13950649422415,1181.9697097148764
south carolina,NA,NA,NA
south dakota,68.68814173722905,-94.52569484459742,280.6980917011526
tennessee,3405.45866349467,740.9744937004358,7762.130684215176
texas,32955.938342141744,12102.827727327325,64548.12652912986
utah,646.4552509866305,-131.78842667352728,1778.871124770997
virginia,4704.514808033424,1765.2969129601972,9773.978709753419
vermont,192.03396447117723,7.150167782234029,476.5083512843521
washington,-1.5534477292284934,-3336.4529835034664,3249.392574747544
wisconsin,3557.2948603310156,1243.7665269479355,7214.290212219406
west virginia,NA,NA,NA
wyoming,-18.20586972821131,-159.1330387345307,112.36190297007707
