state,median,lower_bound,upper_bound
california,73.1032976063359,-7.62716203904631,231.359350210176
connecticut,24.5707141340505,4.04842115694343,62.0204746133848
georgia,68.3961787130706,11.5640666703015,163.802291091291
iowa,15.3157241044272,1.65617361111639,39.4700587606401
idaho,1.72722798247822,-1.71457096379309,7.4772390642547
illinois,77.1640810768868,9.22047266335115,195.35234770305
indiana,28.1248045384155,-0.0642043198951764,83.2506093965852
kansas,2.81071627913487,-15.5530186344005,24.845222333201
kentucky,29.4468786357374,1.96455849111047,81.39867199963
louisiana,30.6858896601419,4.78448345400767,73.8853332728016
massachusetts,58.7738007662076,9.88204555142428,142.236372881777
maryland,9.61023690056101,-2.61946184672653,35.3243108586319
maine,14.8875411952522,2.27306144529651,36.3630476364812
michigan,31.4106859316739,-6.08495589381493,104.095393838898
minnesota,8.91160469742652,-13.9724840081724,45.4415799104058
missouri,33.5136232637557,2.58533153318048,93.4448387179056
mississippi,19.058077200889,3.36848216141329,42.5665661546222
montana,-0.69733872027409,-3.55559252159521,1.03247020660803
north dakota,0.410502760031633,-1.28226250615558,2.82754538976272
new hampshire,2.75714356084896,-0.335345527956571,9.77621113980008
new jersey,31.0842564630105,1.71444051025157,88.2106402505162
new mexico,0.854201586071188,-2.23654073523961,5.19868502432341
nevada,1.26110269916692,-2.76610242757937,7.32717113198514
new york,95.2791818865001,12.6340048098641,235.925032755659
ohio,60.9867049915924,3.69925880731176,167.033113695759
oklahoma,13.6347646770771,-3.91395903952131,45.4101831175668
oregon,14.6476343803423,-11.3177736660046,57.5460623244264
pennsylvania,44.720811806083,0.63756800492643,133.758161342853
rhode island,4.59200481735575,0.317591593460522,13.8902946570085
south dakota,0.78840343407249,-1.24594815402268,4.02721674754604
tennessee,29.2344976978027,2.43884174138728,78.3520666459658
texas,164.954046877478,26.110680810265,395.654307434855
utah,7.60823234747219,-1.84149125756417,25.7872656731349
virginia,45.9211111404227,7.82818795394666,114.047708181882
vermont,2.58722319283404,-0.118848636649132,7.97492335558772
washington,-0.143552988737823,-35.9732497489796,34.98853261399
wisconsin,37.8899145190965,5.19129780906009,92.8315354111996
wyoming,-0.20703015799977,-2.41137114747569,1.5685700504949
state_sum,1085.67489965669,-2.71537429597393,2985.50140559466
