state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
alabama,5.15458147459511e-4,9.9097402203926e-5,0.00110003477505247,51.5458147459511,9.9097402203926,110.003477505247,Marginal
california,1.58725862647614e-4,3.11148582004668e-5,3.57243489663775e-4,15.8725862647614,3.11148582004668,35.7243489663775,Marginal
connecticut,3.51203752304592e-4,5.86177618930014e-5,8.19361937411771e-4,35.1203752304592,5.86177618930014,81.9361937411771,Marginal
maryland,1.81762932486449e-4,6.86426320322628e-6,5.3655648846885e-4,18.1762932486449,0.686426320322628,53.655648846885,Marginal
georgia,7.47389906810896e-4,1.32858128997365e-4,0.00150960155430016,74.7389906810896,13.2858128997365,150.960155430016,Marginal
illinois,3.36119787586842e-4,6.4427524267647e-5,7.53617196647772e-4,33.6119787586842,6.4427524267647,75.3617196647772,Marginal
indiana,2.84026488189526e-4,4.76290887017617e-5,6.99028882245295e-4,28.402648818952603,4.762908870176171,69.9028882245295,Marginal
kansas,-9.42245678981741e-5,-5.34000872782027e-4,2.10025250089109e-4,-9.42245678981741,-53.4000872782027,21.0025250089109,Marginal
kentucky,2.95893885363723e-4,5.79168508408838e-5,6.38779560959829e-4,29.5893885363723,5.79168508408838,63.877956095982896,Marginal
louisiana,8.79861106473498e-4,1.68016978415213e-4,0.00178354187677481,87.9861106473498,16.8016978415213,178.35418767748098,Marginal
maryland,1.82896531813607e-4,8.04369148906925e-6,5.31225141360792e-4,18.289653181360702,0.804369148906925,53.1225141360792,Marginal
maine,2.55010070623469e-4,3.72070289847664e-5,6.68817162940177e-4,25.5010070623469,3.72070289847664,66.8817162940177,Marginal
michigan,1.30488374188884e-4,1.63339450090712e-5,3.60177099379329e-4,13.0488374188884,1.63339450090712,36.0177099379329,Marginal
missouri,3.00036680850855e-4,4.42190847887322e-5,7.07848400659357e-4,30.0036680850855,4.4219084788732195,70.7848400659357,Marginal
mississippi,6.92460054533034e-4,1.23875024494289e-4,0.00142111310489552,69.2460054533034,12.387502449428899,142.11131048955198,Marginal
montana,-6.46942113409481e-5,-2.79907695819732e-4,4.57657983337972e-5,-6.4694211340948105,-27.9907695819732,4.5765798333797205,Marginal
north carolina,3.77913988808541e-4,7.47229404222622e-5,7.96059178372938e-4,37.7913988808541,7.4722940422262205,79.6059178372938,Marginal
new hampshire,6.37480417922197e-5,-1.06808854519945e-4,3.32241266703903e-4,6.37480417922197,-10.680885451994499,33.2241266703903,Marginal
