state,strata,pop_at_risk,par_se
alabama,marginal,129218.76771550713,6234.296658050993
california,marginal,671986.4161760651,20890.44425128587
connecticut,marginal,84677.37260404431,2590.3335713722413
maryland,marginal,15798.013534971855,730.185445510662
georgia,marginal,248135.14745203464,8370.768959485888
illinois,marginal,273229.3055206418,12559.979965424463
indiana,marginal,132569.087090111,4345.635040413426
kansas,marginal,59398.97315219292,1388.3273343695685
kentucky,marginal,99244.19237655136,4045.5068835411776
louisiana,marginal,92047.26841542013,4601.615490386994
maryland,marginal,131237.96659886342,3644.759273399605
maine,marginal,24458.05562364132,964.9552474012246
michigan,marginal,229160.95266229438,5876.510505298942
missouri,marginal,131334.2639467264,5643.993486104522
mississippi,marginal,74074.2878338705,2279.498221777358
montana,marginal,14629.653288402222,532.829407334002
north carolina,marginal,250591,27750
nebraska,marginal,28713.939233620462,977.3862714756988
new hampshire,marginal,26518.26777850191,1007.1162697108535
new jersey,marginal,182991.57549668002,4178.899218402226
new mexico,marginal,41115.3768828014,1291.9285037807906
nevada,marginal,44870.491763936494,2601.1712072985247
new york,marginal,419034.7329808959,16394.569707585924
ohio,marginal,215438.52600157782,7051.1268043224145
oklahoma,marginal,88802.08791400769,2615.6591263242517
oregon,marginal,66502.69301241859,2489.9427577684196
pennsylvania,marginal,271045.89493588504,7128.718612646203
rhode island,marginal,25116.394078057365,882.8364264876949
tennessee,marginal,116053.64991984564,8798.851983257571
texas,marginal,548901.1415288933,16874.22085752235
united states,marginal,3532302.6877101725,30480.586509237517
utah,marginal,56836.416698567475,1453.8993217297866
vermont,marginal,11422.305327049105,359.0227801591249
washington,marginal,102209.78072139033,3356.5912796339667
wisconsin,marginal,101754.19198139745,4353.984366481898
west virginia,marginal,31891.92933215261,1128.9646914828913
arizona,marginal,137289.8333766376,7037.931298930198
wyoming,marginal,8494.712012737353,465.10797299122225
iowa,marginal,39871.75015555637,1891.6304309582003
massachusetts,marginal,136353.91496287964,7529.038025019768
north dakota,marginal,8211.154834251216,622.2082857455073
delaware,marginal,27920,2722.9591836734694
idaho,marginal,23080.276468631677,1312.9084472983802
virginia,marginal,153984.97162686108,7455.582227500713
minnesota,marginal,80342.45860200575,7120.39107560055
south dakota,marginal,10719,1217.3469387755101
alabama,female,57568.79767067699,4324.370993548694
california,female,289409.5631273897,14239.270446426312
connecticut,female,35680.45854158085,1700.9225837760691
maryland,female,6651.07293963763,493.6609462488967
georgia,female,96577.26543742626,5326.129634158911
illinois,female,112855.94002936517,8163.589842630304
indiana,female,55377.307880055196,2663.8483260161447
kansas,female,24936.128665322907,871.7811746568151
kentucky,female,40550.817023859054,2541.5933774838477
louisiana,female,39313.29417347001,3157.27150834745
maryland,female,54409.332652024794,2416.873671784144
maine,female,9840.195161664367,621.6950369850003
michigan,female,99354.58837693848,3852.0617624969877
missouri,female,52130.34878044955,3525.1613963529817
mississippi,female,29620.01026750057,1489.9684351088406
montana,female,6253.456622415904,349.0940247584188
north carolina,female,114612,18825
nebraska,female,12037.909456060455,626.8824801783927
new hampshire,female,10430.406644109658,621.3934759645625
new jersey,female,73517.07240433441,2648.5127138553603
new mexico,female,15864.318677721845,823.2476894759844
nevada,female,20498.789676759767,1910.092269507796
new york,female,178160.6975678386,10881.30393676532
ohio,female,91815.77358713104,4617.024749668256
oklahoma,female,37403.426073884744,1722.8317545996345
oregon,female,29809.964175606787,1704.946338422318
pennsylvania,female,105191.153086856,4367.016843056365
rhode island,female,10433.898178092672,589.419147733126
tennessee,female,44803.05749279698,5013.793916383628
texas,female,226602.36547723983,11121.253437308125
united states,female,1463683.1320874128,19902.730832118334
utah,female,23360.0582657734,961.0755383595293
vermont,female,4954.38883998288,237.76575947010753
washington,female,43174.99529388048,2173.9365922138527
wisconsin,female,41459.90310369142,2852.280916991296
west virginia,female,14138.035596647893,777.18035365798
arizona,female,52002.491616682935,4345.087725852221
