"","state","median","lower_bound","upper_bound"
"1","alabama",92.6465098839254,35.8092157064237,177.467626756697
"2","arkansas",36.2366581139723,4.89453004016573,83.7669794357674
"3","arizona",81.5951906941444,11.364573866737,192.293949402734
"4","california",402.472270577595,-16.9866868981958,966.755112750768
"5","colorado",33.0475930525357,-5.47624303782044,87.3606883976807
"6","connecticut",99.4759137800796,32.1844858465527,199.040860269932
"7","delaware",17.0922948808413,2.42060325676616,37.772320015308
"8","florida",632.99148467137,308.832234093662,1111.06843130775
"9","georgia",213.419443544178,89.588040721018,397.847824417043
"10","iowa",18.1558890145663,4.75515902262485,37.8335738774028
"11","idaho",6.05417001431552,-4.86729844803731,19.3363012289054
"12","illinois",165.546761710401,49.6211578787259,348.23312757696
"13","indiana",102.145862449935,5.15309456902636,238.799365925964
"14","kansas",4.58999290017832,-16.8250801159032,27.8132756784644
"15","kentucky",61.5818134771311,13.4159349987052,130.810440711154
"16","louisiana",105.280484232572,40.9126884778038,202.426073947674
"17","massachusetts",167.04711702202,63.8725142301695,322.867774413339
"18","maryland",109.864304702894,-29.263991689366,290.844521527919
"19","maine",22.1784354923493,8.27839195269807,42.7243893131373
"20","michigan",124.17057612035,-15.6987399400753,314.479200600823
"21","minnesota",11.34578715171,-15.5007279264977,44.4014262809371
"22","missouri",84.6851987206904,14.7506989236706,188.910821861502
"23","mississippi",84.7194749234296,40.897266266312,150.31236100353
"24","montana",-1.90978082479844,-7.09081680602513,2.36760371044086
"25","north carolina",136.013693298086,41.3226913003151,288.314733403227
"26","north dakota",1.00877462399737,-2.2228650626879,4.90662280509668
"27","nebraska",17.4247849863613,2.56209762368558,38.3070137344233
"28","new hampshire",18.1472788830332,-2.47199101748425,45.2550238338919
"29","new jersey",153.226043559306,27.9444118367829,328.852645879683
"30","new mexico",5.39257818069709,-10.3539724466332,23.8650343811392
"31","nevada",8.95025359324181,-16.9689576279345,39.6472294987248
"32","new york",408.296901468567,140.251417507263,797.787522407766
"33","ohio",116.80845752975,21.2928782135308,260.363367837264
"34","oklahoma",30.3450612907531,-7.83615983110433,81.0075431750264
"35","oregon",14.2076719000532,-10.2539823365323,44.7459782119971
"36","pennsylvania",177.834987330727,10.0962712018702,405.609444836503
"37","rhode island",29.9633388049919,6.13728824406014,63.3068349363429
"38","south carolina",77.9557300328338,35.6880328321093,144.813417887501
"39","south dakota",1.59368338542042,-1.95109329871183,5.93855853328579
"40","tennessee",72.2118723707489,16.3611510615385,162.804487749016
"41","texas",547.246045392642,212.742431471553,1058.53625879823
"42","utah",15.1631835991061,-2.98865309305572,39.6825619430681
"43","virginia",166.379405886679,68.4345321688274,313.432843584281
"44","vermont",5.53043358405092,0.0223291076505582,13.2369101343956
"45","washington",0.555396955533857,-49.8151631990449,51.0033169188776
"46","wisconsin",59.6828866598442,21.2075954875096,117.333271096181
"47","west virginia",18.4562722434326,2.3418054052014,41.7865529488072
"48","wyoming",-0.704389897840524,-5.55486459954278,3.96563040839738
