"","state","median","lower_bound","upper_bound"
"1","alabama",105.203323947458,39.4438982664636,206.148595042367
"2","arkansas",22.6072479076589,4.09802628757612,55.6242821450132
"3","arizona",8.01987355559942,1.28342304282966,18.0450336654012
"4","california",101.185660329812,-8.07538475078337,271.684134318568
"5","colorado",5.63096146458689,-0.940061507068616,14.535764354736
"6","connecticut",38.2690367488127,11.429547852693,84.1783613271128
"7","delaware",12.7465365454745,1.75086843655801,29.5556009011358
"8","florida",615.676015062389,291.041362663766,1159.93863616322
"9","georgia",228.204559635317,96.3134349659011,443.311681989971
"10","iowa",4.3536882441487,1.09934851378249,10.1964610117839
"11","idaho",0.28174260678333,-0.224918175365459,0.915421103888573
"12","illinois",96.728532515391,23.7620137760797,213.954725189594
"13","indiana",37.6630946336768,2.54173187063265,94.5266231988589
"14","kansas",1.103256962345,-4.96966133482619,8.1991974877284
"15","kentucky",21.3331013240816,3.96503147630022,53.2568885221265
"16","louisiana",130.017685996532,48.0202773908768,267.199188048813
"17","massachusetts",42.4940390936029,13.9207059474432,94.8216947726704
"18","maryland",111.593402859192,-30.907756665717,305.867703853782
"19","maine",1.87130942250354,0.676400889480984,3.65003281363699
"20","michigan",66.0935503761109,-9.70532702029087,177.750379745891
"21","minnesota",2.62170774707644,-3.45467017120498,10.1807575484051
"22","missouri",48.4260116619332,8.64575560517725,115.657673463861
"23","mississippi",112.92426835502,52.1327942016639,206.701274692551
"24","montana",-0.0609577580880463,-0.225505148454682,0.0789432264613316
"25","north carolina",138.928098887439,41.149836821545,290.267916437987
"26","north dakota",0.0665949075702869,-0.152789147445642,0.313170131051349
"27","nebraska",5.75635652765783,0.71916780511973,14.3374659629349
"28","new hampshire",1.02529891595768,-0.0805603864716061,2.56033096528817
"29","new jersey",75.6214535172698,11.7261643632538,171.859950487296
"30","new mexico",0.373549234521705,-0.732943364844075,1.67948383019765
"31","nevada",3.96851577121515,-8.47463652603069,20.1528674290742
"32","new york",206.864381948374,72.6454747236803,433.29563356839
"33","ohio",74.0421432262609,9.52358597629557,176.813748848843
"34","oklahoma",10.1886156981129,-2.88901494041262,29.2991910331535
"35","oregon",1.40347356225756,-0.996447678044182,4.40941582700906
"36","pennsylvania",87.6210110899484,5.12127826224713,214.262688849717
"37","rhode island",4.768523211175,0.798452743779523,11.9652666724542
"38","south carolina",103.47020889313,45.1192919705465,197.392894087742
"39","south dakota",0.17019084361491,-0.239223369796568,0.682897635884824
"40","tennessee",41.886474783156,8.73160382481572,96.402964192673
"41","texas",255.192521823641,92.5302232557379,542.425676161569
"42","utah",0.620726910398398,-0.130635476260845,1.83694591133725
"43","virginia",117.367170036339,46.7342414182577,240.762557325689
"44","vermont",0.3208095939359,0.00430102562168956,0.761914310299138
"45","washington",0.0384261354071992,-6.31476063491735,6.37121587473739
"46","wisconsin",30.1065431955474,9.32259725182964,68.1471477429807
"47","west virginia",3.06926024525578,0.380280022377429,6.7871605546854
"48","wyoming",-0.0294398444549077,-0.239237355932508,0.161239800225885
