"","state","median","lower_bound","upper_bound"
"1","alabama",157.980280746003,64.5321298226124,289.322756533398
"2","arkansas",57.2037361612737,9.088537312956,125.185298506277
"3","arizona",133.689725151366,18.4828210166743,301.452332157718
"4","california",642.421136891872,-51.6591530849554,1518.10609793771
"5","colorado",53.4252259021379,-8.8130267119963,133.357299875723
"6","connecticut",160.674557393044,56.3252509222162,304.328595414568
"7","delaware",26.4073353278364,3.5414449945572,56.8129668547318
"8","florida",1055.23449454968,560.965123748256,1724.58069819554
"9","georgia",346.708695592035,150.197923752872,619.902273723785
"10","iowa",29.3582263182249,8.20697879010585,58.2337890593633
"11","idaho",9.27113187781915,-7.09158750107012,28.0025009732564
"12","illinois",264.257472508236,75.1116332931939,519.964058758529
"13","indiana",169.349589769731,12.9113159879327,371.690767765809
"14","kansas",6.63306523780183,-26.696756182866,42.2090943115687
"15","kentucky",96.1194952117521,21.636225535264,197.622370708425
"16","louisiana",170.712211246268,68.9529584440485,314.548284304703
"17","massachusetts",250.026835518301,101.589297646922,451.671963467706
"18","maryland",175.830537199244,-53.0396767147956,445.293270195814
"19","maine",34.6972257122275,13.2051695768065,65.097932892681
"20","michigan",200.449920572933,-29.670584281172,486.867018097823
"21","minnesota",17.475813159163,-22.5892324837508,64.9916087058281
"22","missouri",138.443647032037,25.2468930724631,289.794625888648
"23","mississippi",128.708945039732,62.5568807783568,217.482499657795
"24","montana",-3.1909883440873,-11.1999770943128,4.07184715158891
"25","north carolina",223.224908106084,73.6335422963138,448.067990655926
"26","north dakota",1.19549517929836,-2.91510699021763,5.6645608902083
"27","nebraska",27.7556492896523,3.76961213287135,58.8753262746588
"28","new hampshire",28.5475557902188,-3.74341721514651,68.5894097860528
"29","new jersey",238.33593157617,40.2899183786258,493.418407404539
"30","new mexico",8.54151005281841,-15.9478559713615,35.9286708444606
"31","nevada",15.5033774786731,-27.758419372536,63.6832882844979
"32","new york",680.849181477698,238.073603204857,1303.54591060837
"33","ohio",191.776423924296,35.8385054615863,400.181831890668
"34","oklahoma",49.6435646885412,-13.2787522227793,125.886648040448
"35","oregon",32.8467153403552,-23.792154726241,114.029188272327
"36","pennsylvania",273.085497217562,15.6251487756462,595.386907589088
"37","rhode island",46.0888214554525,8.4638230146013,95.9997264331322
"38","south carolina",145.928049255807,67.5028733871108,255.816695917967
"39","south dakota",2.87260091625685,-3.45847312212533,10.5054441444088
"40","tennessee",105.948593082085,24.3223665307645,225.940693549778
"41","texas",861.042573773859,324.864532886744,1586.69546755837
"42","utah",24.197996159959,-6.05495791470284,59.4982146377368
"43","virginia",264.111369484892,112.056340662619,470.506681983869
"44","vermont",8.9165983732474,-0.0803347992451342,20.6883420848639
"45","washington",-0.021177821064748,-81.7537467349914,76.3224563729495
"46","wisconsin",97.3080227500002,35.306436051434,185.311598958045
"47","west virginia",30.6334655805158,4.12577974359318,65.7873313897022
"48","wyoming",-1.11272222928863,-8.5370985889671,5.83696361608733
