"","state","median","lower_bound","upper_bound"
"1","alabama",158.522274748461,59.0602066282244,290.487605213889
"2","arkansas",56.6885234643431,9.07239506397678,123.65293399612
"3","arizona",133.930144187848,21.6639815041171,296.50815951834
"4","california",631.087198343095,-57.4692882044054,1493.80374503448
"5","colorado",53.9968997740297,-9.78571579543747,136.529915007311
"6","connecticut",161.352607149946,55.196485114156,304.443668792183
"7","delaware",26.0362426903876,3.66531250712331,55.8681798934447
"8","florida",1060.47597578667,571.047313864713,1741.91125281522
"9","georgia",342.999496600004,146.107509029543,620.16560748917
"10","iowa",29.2798465596253,8.86306511189267,57.5006371861609
"11","idaho",9.01751864476953,-6.68879964549907,28.0508230031292
"12","illinois",260.236575146553,71.7531829052776,523.742361161209
"13","indiana",167.437380447346,8.39736261992339,370.785480511215
"14","kansas",7.1404335986069,-27.4328862786699,42.5650463092619
"15","kentucky",96.1680767948037,20.7421255848895,198.098441997245
"16","louisiana",172.569759851029,69.3052577917799,319.73665416411
"17","massachusetts",248.92098891207,103.314790138299,447.271468066992
"18","maryland",173.834198876042,-40.6317765692664,448.26036153629
"19","maine",35.038542993631,13.9073651029432,64.0809309673919
"20","michigan",198.054348422097,-32.0124287018921,481.133773715862
"21","minnesota",18.2172236075523,-24.1714381382833,63.3116285960359
"22","missouri",141.344666119968,27.213972118654,293.389527791981
"23","mississippi",128.637775468208,63.5354210130325,217.611067213345
"24","montana",-3.05629225923694,-11.0040006576229,3.9189604534344
"25","north carolina",222.49850296626,70.8409711948127,446.376026245829
"26","north dakota",1.16600039165797,-2.84339245879022,5.62275032414844
"27","nebraska",27.5347937328013,3.29196960485773,58.7736194182288
"28","new hampshire",29.3926892389063,-2.36177313864924,68.5329953479738
"29","new jersey",231.888638217939,38.0089977690878,485.090026892777
"30","new mexico",8.09141516003249,-16.3782821780542,35.0053377659588
"31","nevada",15.8113372515228,-27.159618687158,63.0620152913856
"32","new york",677.832192270392,245.293062099067,1280.52026973698
"33","ohio",190.053626808076,32.3571145696338,396.454747469451
"34","oklahoma",50.2437784513939,-14.0759423207296,127.441019625507
"35","oregon",33.7989203178713,-25.7744485055173,114.562584062169
"36","pennsylvania",272.109246628065,12.2573613619081,598.781487290341
"37","rhode island",46.6911027261033,9.30225292633351,96.3185649857089
"38","south carolina",145.655952387886,68.3644018049956,255.296232299304
"39","south dakota",2.94839509110251,-3.75241967294848,10.3113175977724
"40","tennessee",106.749644128144,25.1444032820362,225.493101783021
"41","texas",869.730748440586,331.9741439316,1570.42736452438
"42","utah",24.2084612484771,-5.34565355480613,60.1770648732532
"43","virginia",259.357993362573,109.629306188951,470.206914346046
"44","vermont",9.05669077617976,0.153234517447837,20.2331687354857
"45","washington",-0.617361386454231,-78.8378169418218,82.0037455707223
"46","wisconsin",97.3108356157684,34.5878814796008,182.393059755571
"47","west virginia",30.5230291027439,3.58345193710568,66.2764598080617
"48","wyoming",-1.05639182471242,-8.18260832594086,5.87576618624081
