state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
nebraska,marginal,28713.939233620462,977.3862714756988,NA,NA,NA,0.1067,0.0047,0.0095,0.004
new hampshire,marginal,26518.26777850191,1007.1162697108535,2.237445716467837,2.541148106038089,13,0.1067,0.0047,0.0095,0.004
new jersey,marginal,182991.57549668002,4178.899218402226,4.30348065040259,1.2391849341743608,23.4,0.1067,0.0047,0.0095,0.004
new mexico,marginal,41115.3768828014,1291.9285037807906,0.6665321870912665,0.5388803058273527,30,0.1067,0.0047,0.0095,0.004
nevada,marginal,44870.491763936494,2601.1712072985247,1.871937419137972,0.8917961588037685,14.833333333333334,0.1067,0.0047,0.0095,0.004
new york,marginal,419034.7329808959,16394.569707585924,7.4138704827253585,0.9932147514156776,24.555555555555557,0.1067,0.0047,0.0095,0.004
ohio,marginal,215438.52600157782,7051.1268043224145,4.487444605592271,0.6712301432237828,34.7,0.1067,0.0047,0.0095,0.004
oklahoma,marginal,88802.08791400769,2615.6591263242517,1.5967475445049761,0.6832444024849943,38.5,0.1067,0.0047,0.0095,0.004
oregon,marginal,66502.69301241859,2489.9427577684196,-2.307054093695364,0.8829536735269498,66,0.1067,0.0047,0.0095,0.004
pennsylvania,marginal,271045.89493588504,7128.718612646203,3.0428047621702374,1.4190406756386476,21,0.1067,0.0047,0.0095,0.004
rhode island,marginal,25116.394078057365,882.8364264876949,9.441467473122215,3.131711620208615,11,0.1067,0.0047,0.0095,0.004
tennessee,marginal,116053.64991984564,8798.851983257571,4.68384975022509,2.4304900946000103,34,0.1067,0.0047,0.0095,0.004
texas,marginal,548901.1415288933,16874.22085752235,8.28196927028711,0.43850714056189105,39.774193548387096,0.1067,0.0047,0.0095,0.004
united states,marginal,3532302.6877101725,30480.586509237517,NA,NA,NA,0.1067,0.0047,0.0095,0.004
utah,marginal,56836.416698567475,1453.8993217297866,1.7515251966871814,0.46796759517952496,28.363636363636363,0.1067,0.0047,0.0095,0.004
